Gender,Age,Dependents,Employment_Status,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Outstanding_Debt,Loan_Amount_Requested,Loan_Term,Loan_Purpose,Interest_Rate,Loan_History,Bank_Account_History,Transaction_Frequency,Co-Applicant,Default_Risk,Loan_Approval_Status
Female,25,2,Employed,139901,2533,743,0,19822,24535,209,Home,4.27,0,8,20,Yes,0.81,1
Male,36,2,Employed,21162,4041,468,1,18321,8288,33,Home,14.78,0,9,9,Yes,0.17,0
Male,43,0,Self-Employed,27815,3453,389,2,13851,10308,159,Vehicle,12.33,0,7,27,Yes,0.25,0
Female,28,0,Self-Employed,137853,2732,778,0,28608,33937,39,Personal,8.77,1,9,16,No,0.27,1
Female,32,0,Employed,81753,1648,752,2,8780,23360,34,Home,9.04,1,1,17,No,0.32,1
Male,49,2,Employed,149372,2976,793,0,4453,30056,111,Education,4.98,0,4,14,Yes,0.99,1
Female,41,0,Employed,123266,1118,707,0,28872,34707,192,Personal,7.35,0,2,13,Yes,0.56,1
Female,52,2,Employed,59889,4622,349,2,29440,10583,81,Vehicle,13.49,0,4,21,No,0.45,0
Male,27,1,Self-Employed,121626,2511,803,0,13940,20239,101,Home,13.53,0,4,18,Yes,0.54,0
Male,61,3,Employed,38330,4523,599,2,19381,15084,164,Personal,14.07,0,4,19,No,0.22,1
Female,32,3,Self-Employed,54670,4969,772,1,22104,20000,158,Home,6.74,0,6,8,No,0.68,1
Female,38,2,Employed,45368,1746,311,2,24498,15496,226,Vehicle,8.6,0,7,7,Yes,0.83,0
Male,54,3,Employed,39362,2534,332,2,9411,13170,203,Education,5.31,0,9,5,Yes,0.63,1
Male,39,2,Self-Employed,114706,3895,789,0,1043,31437,234,Education,5.81,0,3,27,Yes,0.13,1
Male,32,0,Employed,83938,3444,756,1,14421,22519,44,Personal,13.39,0,5,9,No,0.29,1
Female,37,2,Employed,126106,3076,826,0,24028,36921,83,Vehicle,10.61,0,5,14,No,0.54,1
Female,46,0,Self-Employed,141776,2887,745,1,28232,25115,175,Home,13.17,1,9,14,No,0.33,1
Male,30,0,Employed,73388,1024,821,0,21641,20347,157,Education,8.56,0,0,25,No,0.09,1
Female,47,2,Employed,136354,3703,806,1,6546,20651,70,Home,12.51,0,3,6,Yes,0.69,1
Female,34,2,Employed,98808,2975,843,0,19231,22547,51,Home,8.72,0,1,29,Yes,0.28,1
Male,25,1,Employed,76173,1323,752,2,29337,21185,122,Education,9.65,0,6,25,No,0.48,0
Female,33,0,Employed,112335,2636,815,2,24735,20804,39,Personal,12.47,0,3,11,No,0.26,0
Female,29,2,Employed,59576,1966,748,2,16499,20000,111,Education,8.27,0,3,8,No,0.72,1
Female,48,1,Self-Employed,75902,4412,808,2,4475,21091,133,Home,14.43,0,0,22,No,0.06,0
Female,36,0,Unemployed,76130,3789,808,0,10197,22559,119,Home,12.62,0,4,24,Yes,0.76,1
Male,62,3,Employed,25512,3437,444,1,1466,5605,44,Home,8.03,1,8,14,Yes,0.47,1
Female,30,3,Employed,83447,3687,794,2,19771,21241,161,Education,5.4,0,7,23,Yes,0.51,1
Male,40,0,Employed,73963,4692,741,1,3495,20696,41,Home,6.44,0,8,16,No,0.64,1
Female,36,1,Self-Employed,127788,4444,784,0,1942,35810,100,Home,10.02,0,5,28,Yes,0.46,1
Female,46,1,Self-Employed,104806,4972,839,2,1269,23447,42,Home,5.99,1,7,8,No,0.06,1
Male,28,2,Employed,67933,1594,742,0,13179,20249,45,Personal,13.17,1,8,9,No,0.24,0
Female,27,0,Self-Employed,111334,4928,842,2,7520,32288,184,Home,9.19,0,1,25,No,0.37,1
Female,26,1,Employed,99270,3883,712,0,13508,26828,192,Personal,6.6,0,6,9,No,0.93,1
Female,59,0,Employed,42620,4689,391,1,20923,14659,196,Home,5.03,0,7,20,No,0.08,0
Female,29,3,Employed,39883,2928,510,1,19322,9056,44,Home,14.16,0,1,21,Yes,0.24,0
Female,53,0,Self-Employed,66047,849,482,0,16363,24795,124,Education,3.97,0,9,26,Yes,0.71,0
Female,39,0,Employed,140024,3496,825,1,21141,34924,87,Home,7.29,1,7,28,Yes,0.94,1
Female,38,1,Unemployed,56434,4714,760,1,14797,20000,47,Home,10.47,0,9,28,Yes,0.12,1
Male,37,3,Self-Employed,88355,3157,752,0,26645,23097,229,Education,14.68,0,8,28,Yes,0.67,1
Male,41,0,Self-Employed,138057,4469,726,1,8323,31869,74,Home,7.27,0,2,27,No,0.23,1
Male,46,1,Employed,51249,1891,815,2,22824,20000,120,Home,4.78,0,0,5,Yes,0.78,1
Female,47,2,Self-Employed,67520,4023,843,1,5958,20017,54,Home,5.07,0,0,19,Yes,0.55,1
Male,29,1,Self-Employed,122670,3948,723,0,19881,24781,143,Vehicle,10.66,0,3,9,No,0.95,1
Female,59,1,Self-Employed,67367,1815,418,1,27294,13580,156,Home,8.52,0,6,8,No,0.16,0
Female,34,1,Self-Employed,134031,3080,812,0,28911,36100,85,Personal,11.24,1,6,12,No,0.76,0
Male,41,3,Self-Employed,116852,3954,741,1,17280,23742,149,Home,4.12,0,7,28,Yes,0.39,0
Female,43,1,Self-Employed,122278,4560,828,0,5386,20342,197,Vehicle,13.13,0,1,22,No,0.75,1
Male,46,3,Self-Employed,52600,2669,794,1,28914,20000,81,Education,3.87,0,6,17,No,0.41,1
Male,47,3,Self-Employed,60103,1176,847,0,788,20000,41,Personal,11.67,0,5,17,No,0.9,1
Male,49,1,Employed,64215,549,782,1,19492,20000,81,Home,4.5,0,2,18,Yes,0.89,0
Male,61,1,Employed,24428,1093,548,0,17323,6342,181,Home,13.78,0,3,19,No,0.86,0
Female,45,0,Employed,33432,1751,357,0,13599,6055,190,Home,9.67,0,7,18,Yes,0.25,0
Male,19,2,Unemployed,32418,1717,587,0,22349,11224,73,Education,7.35,0,4,19,No,0.2,1
Male,20,1,Employed,41190,2918,511,2,18678,9663,74,Home,13.35,1,8,17,Yes,0.6,0
Female,39,3,Self-Employed,63611,1868,846,0,285,20000,54,Home,12.79,0,6,9,Yes,0.47,1
Male,30,0,Employed,43060,1835,306,1,4879,9244,160,Education,9.76,0,1,8,No,0.9,0
Female,28,0,Employed,120324,3705,720,0,10525,29625,32,Education,5.63,0,9,28,Yes,0.12,1
Male,45,1,Employed,126335,3783,756,0,14334,20464,40,Home,5.93,1,6,21,No,0.44,1
Male,38,0,Employed,143063,2401,788,1,10490,32776,224,Education,8.41,0,9,17,No,0.22,1
Female,37,3,Self-Employed,106339,3492,827,1,3190,28112,193,Vehicle,4.73,0,7,19,Yes,0.22,0
Male,31,1,Employed,127737,4816,777,0,8134,32997,213,Personal,13.95,1,7,15,No,0.13,1
Male,38,2,Employed,148537,1408,849,1,18477,24363,40,Personal,14.11,1,1,14,No,0.82,1
Female,55,1,Employed,32920,2753,385,1,7125,6749,26,Home,14.18,1,2,23,No,0.47,0
Male,29,3,Employed,64093,2296,807,2,4132,20000,147,Education,3.74,0,5,27,Yes,0.37,1
Male,37,0,Employed,104510,3578,772,1,21722,22924,89,Vehicle,9.26,0,8,25,Yes,0.62,1
